timestamp_iso,rxpci_mb_s,txpci_mb_s
2026-08-24T13:31:09+00:00,0,0
2026-08-24T13:31:14+00:00,0,0
2026-08-24T13:31:20+00:00,0,0
2026-08-24T13:31:25+00:00,0,0
2026-08-24T13:31:30+00:00,0,0
2026-08-24T13:31:35+00:00,0,0
2026-08-24T13:31:40+00:00,0,0
2026-08-24T13:31:45+00:00,0,0
2026-08-24T13:31:50+00:00,0,0
2026-08-24T13:31:55+00:00,0,0
2026-08-24T13:32:00+00:00,0,0
2026-08-24T13:32:05+00:00,0,0
2026-08-24T13:32:10+00:00,4,0
2026-08-24T13:32:15+00:00,0,0
2026-08-24T13:32:21+00:00,0,0
2026-08-24T13:32:26+00:00,0,0
2026-08-24T13:32:31+00:00,0,0
2026-08-24T13:32:36+00:00,0,0
2026-08-24T13:32:41+00:00,0,0
2026-08-24T13:32:46+00:00,0,0
2026-08-24T13:32:51+00:00,0,0
2026-08-24T13:32:56+00:00,0,0
2026-08-24T13:33:01+00:00,0,0
2026-08-24T13:33:06+00:00,0,0
2026-08-24T13:33:11+00:00,0,1
2026-08-24T13:33:17+00:00,0,0
2026-08-24T13:33:22+00:00,0,0
2026-08-24T13:33:27+00:00,0,0
2026-08-24T13:33:32+00:00,0,0
2026-08-24T13:33:37+00:00,0,0
2026-08-24T13:33:42+00:00,0,0
2026-08-24T13:33:47+00:00,0,0
2026-08-24T13:33:52+00:00,0,1519
2026-08-24T13:33:57+00:00,3385,393
2026-08-24T13:34:02+00:00,0,0
2026-08-24T13:34:07+00:00,0,1463
2026-08-24T13:34:13+00:00,3421,538
2026-08-24T13:34:18+00:00,0,0
2026-08-24T13:34:23+00:00,0,1519
2026-08-24T13:34:28+00:00,3336,1575
2026-08-24T13:34:33+00:00,0,0
2026-08-24T13:34:38+00:00,0,0
2026-08-24T13:34:43+00:00,0,0
2026-08-24T13:34:48+00:00,0,0
2026-08-24T13:34:53+00:00,0,0
2026-08-24T13:34:58+00:00,0,0
2026-08-24T13:35:03+00:00,0,0
2026-08-24T13:35:08+00:00,0,0
2026-08-24T13:35:14+00:00,0,0
2026-08-24T13:35:19+00:00,0,0
2026-08-24T13:35:24+00:00,0,0
2026-08-24T13:35:29+00:00,0,0
2026-08-24T13:35:34+00:00,0,0
2026-08-24T13:35:39+00:00,0,0
2026-08-24T13:35:44+00:00,0,0
2026-08-24T13:35:49+00:00,0,0
2026-08-24T13:35:54+00:00,0,8675
2026-08-24T13:35:59+00:00,0,0
2026-08-24T13:36:04+00:00,0,0
2026-08-24T13:36:10+00:00,0,0
2026-08-24T13:36:15+00:00,0,0
2026-08-24T13:36:20+00:00,0,0
2026-08-24T13:36:25+00:00,0,0
2026-08-24T13:36:30+00:00,0,0
2026-08-24T13:36:35+00:00,0,1
2026-08-24T13:36:40+00:00,0,0
2026-08-24T13:36:45+00:00,0,0
2026-08-24T13:36:50+00:00,0,0
2026-08-24T13:36:55+00:00,0,0
2026-08-24T13:37:00+00:00,0,0
2026-08-24T13:37:06+00:00,0,0
2026-08-24T13:37:11+00:00,0,0
2026-08-24T13:37:16+00:00,0,0
2026-08-24T13:37:21+00:00,14,0
2026-08-24T13:37:26+00:00,0,0
