2026/08/17 00:38:19.221, 100 %, 60 %, 43709 MiB, 46068 MiB, 71, 288.00 W, 1695 MHz, 7601 MHz
2026/08/17 00:38:24.281, 98 %, 52 %, 43711 MiB, 46068 MiB, 70, 286.30 W, 1425 MHz, 7601 MHz
2026/08/17 00:38:29.339, 100 %, 63 %, 43711 MiB, 46068 MiB, 70, 293.90 W, 1395 MHz, 7601 MHz
2026/08/17 00:38:34.391, 95 %, 58 %, 43713 MiB, 46068 MiB, 71, 293.48 W, 1395 MHz, 7601 MHz
2026/08/17 00:38:39.447, 91 %, 55 %, 43715 MiB, 46068 MiB, 71, 292.61 W, 1410 MHz, 7601 MHz
2026/08/17 00:38:44.501, 100 %, 59 %, 43717 MiB, 46068 MiB, 71, 296.02 W, 1440 MHz, 7601 MHz
2026/08/17 00:38:49.557, 100 %, 62 %, 43717 MiB, 46068 MiB, 71, 297.88 W, 1395 MHz, 7601 MHz
2026/08/17 00:38:54.622, 100 %, 77 %, 43721 MiB, 46068 MiB, 72, 294.33 W, 1395 MHz, 7601 MHz
2026/08/17 00:38:59.715, 99 %, 66 %, 43723 MiB, 46068 MiB, 72, 291.83 W, 1695 MHz, 7601 MHz
2026/08/17 00:39:04.784, 91 %, 52 %, 43725 MiB, 46068 MiB, 72, 293.27 W, 1395 MHz, 7601 MHz
2026/08/17 00:39:09.861, 99 %, 71 %, 43727 MiB, 46068 MiB, 72, 289.08 W, 1395 MHz, 7601 MHz
2026/08/17 00:39:14.922, 100 %, 73 %, 43727 MiB, 46068 MiB, 72, 261.62 W, 1410 MHz, 7601 MHz
2026/08/17 00:39:19.974, 90 %, 56 %, 43729 MiB, 46068 MiB, 72, 296.10 W, 1395 MHz, 7601 MHz
2026/08/17 00:39:25.048, 99 %, 71 %, 43729 MiB, 46068 MiB, 72, 296.24 W, 1395 MHz, 7601 MHz
2026/08/17 00:39:30.141, 100 %, 61 %, 43729 MiB, 46068 MiB, 72, 296.11 W, 1485 MHz, 7601 MHz
2026/08/17 00:39:35.206, 71 %, 29 %, 43729 MiB, 46068 MiB, 71, 276.92 W, 1395 MHz, 7601 MHz
2026/08/17 00:39:40.261, 88 %, 40 %, 43729 MiB, 46068 MiB, 72, 287.87 W, 1425 MHz, 7601 MHz
2026/08/17 00:39:45.316, 94 %, 62 %, 43729 MiB, 46068 MiB, 71, 286.01 W, 1680 MHz, 7601 MHz
2026/08/17 00:39:50.367, 92 %, 60 %, 43729 MiB, 46068 MiB, 72, 294.21 W, 1425 MHz, 7601 MHz
2026/08/17 00:39:55.419, 100 %, 64 %, 43729 MiB, 46068 MiB, 72, 292.80 W, 1395 MHz, 7601 MHz
2026/08/17 00:40:00.493, 100 %, 58 %, 43729 MiB, 46068 MiB, 72, 293.75 W, 1395 MHz, 7601 MHz
2026/08/17 00:40:05.543, 99 %, 51 %, 43729 MiB, 46068 MiB, 72, 286.95 W, 1410 MHz, 7601 MHz
2026/08/17 00:40:10.609, 99 %, 61 %, 43729 MiB, 46068 MiB, 71, 287.40 W, 1575 MHz, 7601 MHz
2026/08/17 00:40:15.661, 98 %, 67 %, 43729 MiB, 46068 MiB, 72, 295.68 W, 1395 MHz, 7601 MHz
2026/08/17 00:40:20.712, 99 %, 73 %, 43729 MiB, 46068 MiB, 71, 295.01 W, 1605 MHz, 7601 MHz
2026/08/17 00:40:25.796, 100 %, 87 %, 43729 MiB, 46068 MiB, 72, 295.15 W, 1395 MHz, 7601 MHz
2026/08/17 00:40:30.898, 100 %, 78 %, 43729 MiB, 46068 MiB, 72, 296.27 W, 1395 MHz, 7601 MHz
2026/08/17 00:40:35.990, 99 %, 67 %, 43729 MiB, 46068 MiB, 72, 297.75 W, 1410 MHz, 7601 MHz
2026/08/17 00:40:41.067, 99 %, 62 %, 43729 MiB, 46068 MiB, 71, 293.71 W, 1410 MHz, 7601 MHz
2026/08/17 00:40:46.127, 100 %, 67 %, 43729 MiB, 46068 MiB, 72, 295.62 W, 1560 MHz, 7601 MHz
2026/08/17 00:40:51.183, 78 %, 48 %, 43729 MiB, 46068 MiB, 72, 286.11 W, 1410 MHz, 7601 MHz
2026/08/17 00:40:56.256, 92 %, 49 %, 43729 MiB, 46068 MiB, 72, 285.88 W, 1485 MHz, 7601 MHz
2026/08/17 00:41:01.316, 99 %, 67 %, 43729 MiB, 46068 MiB, 72, 291.42 W, 1410 MHz, 7601 MHz
2026/08/17 00:41:06.378, 100 %, 65 %, 43729 MiB, 46068 MiB, 72, 297.61 W, 1395 MHz, 7601 MHz
2026/08/17 00:41:11.430, 100 %, 67 %, 43729 MiB, 46068 MiB, 72, 296.03 W, 1455 MHz, 7601 MHz
2026/08/17 00:41:16.484, 85 %, 54 %, 43729 MiB, 46068 MiB, 71, 286.68 W, 1410 MHz, 7601 MHz
2026/08/17 00:41:21.537, 99 %, 68 %, 43729 MiB, 46068 MiB, 72, 295.36 W, 1410 MHz, 7601 MHz
2026/08/17 00:41:26.611, 99 %, 65 %, 43729 MiB, 46068 MiB, 71, 292.97 W, 1620 MHz, 7601 MHz
2026/08/17 00:41:31.688, 100 %, 67 %, 43729 MiB, 46068 MiB, 72, 295.89 W, 1695 MHz, 7601 MHz
2026/08/17 00:41:36.741, 99 %, 69 %, 43729 MiB, 46068 MiB, 72, 286.40 W, 1395 MHz, 7601 MHz
2026/08/17 00:41:41.818, 94 %, 62 %, 43729 MiB, 46068 MiB, 72, 292.88 W, 1500 MHz, 7601 MHz
2026/08/17 00:41:46.892, 99 %, 74 %, 43729 MiB, 46068 MiB, 72, 292.29 W, 1470 MHz, 7601 MHz
2026/08/17 00:41:51.944, 99 %, 64 %, 43729 MiB, 46068 MiB, 71, 294.78 W, 1395 MHz, 7601 MHz
2026/08/17 00:41:57.031, 95 %, 50 %, 43729 MiB, 46068 MiB, 72, 292.08 W, 1755 MHz, 7601 MHz
2026/08/17 00:42:02.097, 97 %, 63 %, 43729 MiB, 46068 MiB, 72, 297.57 W, 1440 MHz, 7601 MHz
2026/08/17 00:42:07.156, 99 %, 69 %, 43729 MiB, 46068 MiB, 72, 296.23 W, 1395 MHz, 7601 MHz
2026/08/17 00:42:12.206, 90 %, 46 %, 43729 MiB, 46068 MiB, 72, 294.13 W, 1425 MHz, 7601 MHz
2026/08/17 00:42:17.266, 98 %, 65 %, 43729 MiB, 46068 MiB, 71, 298.20 W, 1410 MHz, 7601 MHz
2026/08/17 00:42:22.346, 100 %, 67 %, 43729 MiB, 46068 MiB, 72, 290.72 W, 1695 MHz, 7601 MHz
2026/08/17 00:42:27.419, 92 %, 48 %, 43729 MiB, 46068 MiB, 72, 293.07 W, 1425 MHz, 7601 MHz
2026/08/17 00:42:32.475, 98 %, 64 %, 43729 MiB, 46068 MiB, 72, 293.63 W, 1635 MHz, 7601 MHz
2026/08/17 00:42:37.530, 99 %, 78 %, 43729 MiB, 46068 MiB, 72, 297.56 W, 1455 MHz, 7601 MHz
2026/08/17 00:42:42.585, 100 %, 66 %, 43729 MiB, 46068 MiB, 72, 295.54 W, 1440 MHz, 7601 MHz
2026/08/17 00:42:47.639, 91 %, 59 %, 43729 MiB, 46068 MiB, 72, 285.64 W, 1425 MHz, 7601 MHz
2026/08/17 00:42:52.692, 99 %, 69 %, 43729 MiB, 46068 MiB, 71, 290.68 W, 1500 MHz, 7601 MHz
2026/08/17 00:42:57.767, 98 %, 60 %, 43729 MiB, 46068 MiB, 72, 287.07 W, 1410 MHz, 7601 MHz
2026/08/17 00:43:02.826, 100 %, 76 %, 43729 MiB, 46068 MiB, 71, 297.45 W, 1410 MHz, 7601 MHz
2026/08/17 00:43:07.918, 99 %, 72 %, 43729 MiB, 46068 MiB, 72, 294.47 W, 1515 MHz, 7601 MHz
2026/08/17 00:43:13.007, 91 %, 51 %, 43729 MiB, 46068 MiB, 71, 287.88 W, 1395 MHz, 7601 MHz
2026/08/17 00:43:18.078, 99 %, 68 %, 43729 MiB, 46068 MiB, 72, 290.75 W, 1410 MHz, 7601 MHz
2026/08/17 00:43:23.132, 90 %, 55 %, 43729 MiB, 46068 MiB, 71, 296.58 W, 1545 MHz, 7601 MHz
2026/08/17 00:43:28.187, 100 %, 74 %, 43729 MiB, 46068 MiB, 72, 296.00 W, 1395 MHz, 7601 MHz
2026/08/17 00:43:33.266, 99 %, 81 %, 43729 MiB, 46068 MiB, 72, 295.04 W, 1395 MHz, 7601 MHz
2026/08/17 00:43:38.338, 99 %, 73 %, 43729 MiB, 46068 MiB, 71, 291.97 W, 1695 MHz, 7601 MHz
2026/08/17 00:43:43.393, 99 %, 63 %, 43729 MiB, 46068 MiB, 72, 290.28 W, 1500 MHz, 7601 MHz
2026/08/17 00:43:48.446, 89 %, 44 %, 43729 MiB, 46068 MiB, 72, 287.28 W, 1395 MHz, 7601 MHz
2026/08/17 00:43:53.499, 79 %, 49 %, 43729 MiB, 46068 MiB, 72, 285.31 W, 1725 MHz, 7601 MHz
2026/08/17 00:43:58.575, 99 %, 71 %, 43729 MiB, 46068 MiB, 72, 295.13 W, 1455 MHz, 7601 MHz
2026/08/17 00:44:03.640, 99 %, 67 %, 43729 MiB, 46068 MiB, 72, 293.00 W, 1575 MHz, 7601 MHz
2026/08/17 00:44:08.704, 96 %, 62 %, 43729 MiB, 46068 MiB, 72, 295.73 W, 1530 MHz, 7601 MHz
2026/08/17 00:44:13.785, 99 %, 72 %, 43729 MiB, 46068 MiB, 72, 297.68 W, 1395 MHz, 7601 MHz
2026/08/17 00:44:18.854, 96 %, 63 %, 43729 MiB, 46068 MiB, 72, 289.18 W, 1410 MHz, 7601 MHz
2026/08/17 00:44:23.906, 89 %, 55 %, 43729 MiB, 46068 MiB, 72, 293.83 W, 1395 MHz, 7601 MHz
2026/08/17 00:44:28.959, 89 %, 55 %, 43729 MiB, 46068 MiB, 72, 260.60 W, 1395 MHz, 7601 MHz
