timestamp_iso,rxpci_mb_s,txpci_mb_s
2026-08-17T14:35:31.2652992+02:00,1157,2554
2026-08-17T14:35:36.5476688+02:00,1163,1440
2026-08-17T14:35:41.7599255+02:00,592,2174
2026-08-17T14:35:46.9831395+02:00,1153,1682
2026-08-17T14:35:52.1831056+02:00,582,2424
2026-08-17T14:35:57.3804801+02:00,593,2140
2026-08-17T14:36:02.6157460+02:00,1164,1816
2026-08-17T14:36:07.8292204+02:00,1192,1412
2026-08-17T14:36:13.0502505+02:00,11,895
2026-08-17T14:36:18.2694654+02:00,3,517
2026-08-17T14:36:23.4810553+02:00,3,764
2026-08-17T14:36:28.6667176+02:00,3,267
2026-08-17T14:36:33.8845755+02:00,3,472
2026-08-17T14:36:39.0866202+02:00,72,891
2026-08-17T14:36:44.2901721+02:00,3,891
2026-08-17T14:36:49.4941442+02:00,2,891
2026-08-17T14:36:54.6988982+02:00,4,890
2026-08-17T14:36:59.8993489+02:00,4,446
2026-08-17T14:37:05.0801675+02:00,17,894
2026-08-17T14:37:10.2687962+02:00,5,882
2026-08-17T14:37:15.4736080+02:00,785,2325
2026-08-17T14:37:20.6788153+02:00,11,446
2026-08-17T14:37:25.8690987+02:00,4,1
2026-08-17T14:37:31.0650277+02:00,79,1
2026-08-17T14:37:36.3054313+02:00,6,1
2026-08-17T14:37:41.5393169+02:00,5,1
2026-08-17T14:37:46.7714049+02:00,4,1
2026-08-17T14:37:51.9677282+02:00,5,1
2026-08-17T14:37:57.1792869+02:00,5,0
2026-08-17T14:38:02.3635391+02:00,3,1
2026-08-17T14:38:07.5277194+02:00,3,1
2026-08-17T14:38:12.7370507+02:00,4,1
2026-08-17T14:38:17.9431167+02:00,3,1
2026-08-17T14:38:23.1563972+02:00,4,1
2026-08-17T14:38:28.3392311+02:00,4,1
2026-08-17T14:38:33.5313352+02:00,4,1
2026-08-17T14:38:38.7412190+02:00,4,1
2026-08-17T14:38:43.9466463+02:00,4,0
2026-08-17T14:38:49.1401214+02:00,5,1
2026-08-17T14:38:54.3377013+02:00,4,1
2026-08-17T14:38:59.5094096+02:00,4,1
2026-08-17T14:39:04.7081156+02:00,2,1
2026-08-17T14:39:09.9462548+02:00,4,0
2026-08-17T14:39:15.2705072+02:00,2,1
2026-08-17T14:39:20.5739779+02:00,3,1
2026-08-17T14:39:25.7955380+02:00,2,1337
2026-08-17T14:39:31.0410258+02:00,3,892
2026-08-17T14:39:36.2652163+02:00,4,774
2026-08-17T14:39:41.4515884+02:00,567,2490
2026-08-17T14:39:46.6706707+02:00,805,1414
2026-08-17T14:39:51.8666920+02:00,809,1956
2026-08-17T14:39:57.0815830+02:00,848,1904
2026-08-17T14:40:02.2592797+02:00,676,1664
2026-08-17T14:40:07.4797308+02:00,823,1853
2026-08-17T14:40:12.6753382+02:00,824,1997
2026-08-17T14:40:17.8962319+02:00,720,1697
2026-08-17T14:40:23.1078829+02:00,16,445
2026-08-17T14:40:28.4735276+02:00,3,891
2026-08-17T14:40:33.6687902+02:00,3,685
2026-08-17T14:40:38.8921070+02:00,4,891
2026-08-17T14:40:44.1060098+02:00,68,450
2026-08-17T14:40:49.2998241+02:00,4,601
2026-08-17T14:40:54.5016138+02:00,5,679
2026-08-17T14:40:59.7039878+02:00,72,447
2026-08-17T14:41:04.8986035+02:00,3,891
2026-08-17T14:41:10.1043043+02:00,13,781
2026-08-17T14:41:15.3087467+02:00,6,892
2026-08-17T14:41:20.4899252+02:00,6,891
2026-08-17T14:41:25.7052186+02:00,6,891
2026-08-17T14:41:30.9119321+02:00,4,892
2026-08-17T14:41:36.0909053+02:00,69,4
